COUNTRY,Station forestry type / wood and carbon storage,full name,Increase of Carbon (t  C / ha / year)
Belgium,"Orchard (apple tree, pear tree...)","BelgiumOrchard (apple tree, pear tree...)",0.1
Belgium,Vineyard (vine stock),BelgiumVineyard (vine stock),0.1
Bulgaria,"Orchard (apple tree, pear tree...)","BulgariaOrchard (apple tree, pear tree...)",0.1
Bulgaria,Vineyard (vine stock),BulgariaVineyard (vine stock),0.1
Czech Republic,"Orchard (apple tree, pear tree...)","Czech RepublicOrchard (apple tree, pear tree...)",0.1
Czech Republic,Vineyard (vine stock),Czech RepublicVineyard (vine stock),0.1
Denmark,"Orchard (apple tree, pear tree...)","DenmarkOrchard (apple tree, pear tree...)",0.1
Denmark,Vineyard (vine stock),DenmarkVineyard (vine stock),0.1
Estonia,"Orchard (apple tree, pear tree...)","EstoniaOrchard (apple tree, pear tree...)",0.1
Estonia,Vineyard (vine stock),EstoniaVineyard (vine stock),0.1
Ireland,"Orchard (apple tree, pear tree...)","IrelandOrchard (apple tree, pear tree...)",0.1
Ireland,Vineyard (vine stock),IrelandVineyard (vine stock),0.1
germany,"Orchard (apple tree, pear tree...)","germanyOrchard (apple tree, pear tree...)",0.1
germany,Vineyard (vine stock),germanyVineyard (vine stock),0.1
Spain,"Orchard (apple tree, pear tree...)","SpainOrchard (apple tree, pear tree...)",0.1
Spain,Vineyard (vine stock),SpainVineyard (vine stock),0.1
France,"Orchard (apple tree, pear tree...)","FranceOrchard (apple tree, pear tree...)",0.1
France,Vineyard (vine stock),FranceVineyard (vine stock),0.1
Italy,"Orchard (apple tree, pear tree...)","ItalyOrchard (apple tree, pear tree...)",0.1
Italy,Vineyard (vine stock),ItalyVineyard (vine stock),0.1
Cyprus,"Orchard (apple tree, pear tree...)","CyprusOrchard (apple tree, pear tree...)",0.1
Cyprus,Vineyard (vine stock),CyprusVineyard (vine stock),0.1
Latvia,"Orchard (apple tree, pear tree...)","LatviaOrchard (apple tree, pear tree...)",0.1
Latvia,Vineyard (vine stock),LatviaVineyard (vine stock),0.1
Lithuania,"Orchard (apple tree, pear tree...)","LithuaniaOrchard (apple tree, pear tree...)",0.1
Lithuania,Vineyard (vine stock),LithuaniaVineyard (vine stock),0.1
Luxembourg,"Orchard (apple tree, pear tree...)","LuxembourgOrchard (apple tree, pear tree...)",0.1
Luxembourg,Vineyard (vine stock),LuxembourgVineyard (vine stock),0.1
Hungary,"Orchard (apple tree, pear tree...)","HungaryOrchard (apple tree, pear tree...)",0.1
Hungary,Vineyard (vine stock),HungaryVineyard (vine stock),0.1
Malta,Vineyard (vine stock),MaltaVineyard (vine stock),0.1
Malta,"Orchard (apple tree, pear tree...)","MaltaOrchard (apple tree, pear tree...)",0.1
Netherlands,Vineyard (vine stock),NetherlandsVineyard (vine stock),0.1
Netherlands,"Orchard (apple tree, pear tree...)","NetherlandsOrchard (apple tree, pear tree...)",0.1
Austria,Vineyard (vine stock),AustriaVineyard (vine stock),0.1
Austria,"Orchard (apple tree, pear tree...)","AustriaOrchard (apple tree, pear tree...)",0.1
Poland,Vineyard (vine stock),PolandVineyard (vine stock),0.1
Poland,"Orchard (apple tree, pear tree...)","PolandOrchard (apple tree, pear tree...)",0.1
Portugal,Vineyard (vine stock),PortugalVineyard (vine stock),0.1
Portugal,"Orchard (apple tree, pear tree...)","PortugalOrchard (apple tree, pear tree...)",0.1
Romania,Vineyard (vine stock),RomaniaVineyard (vine stock),0.1
Romania,"Orchard (apple tree, pear tree...)","RomaniaOrchard (apple tree, pear tree...)",0.1
Slovenia,Vineyard (vine stock),SloveniaVineyard (vine stock),0.1
Slovenia,"Orchard (apple tree, pear tree...)","SloveniaOrchard (apple tree, pear tree...)",0.1
Slovakia,Vineyard (vine stock),SlovakiaVineyard (vine stock),0.1
Slovakia,"Orchard (apple tree, pear tree...)","SlovakiaOrchard (apple tree, pear tree...)",0.1
Finland,Vineyard (vine stock),FinlandVineyard (vine stock),0.1
Finland,"Orchard (apple tree, pear tree...)","FinlandOrchard (apple tree, pear tree...)",0.1
Sweden,Vineyard (vine stock),SwedenVineyard (vine stock),0.1
Sweden,"Orchard (apple tree, pear tree...)","SwedenOrchard (apple tree, pear tree...)",0.1
United Kingdom,Vineyard (vine stock),United KingdomVineyard (vine stock),0.1
United Kingdom,"Orchard (apple tree, pear tree...)","United KingdomOrchard (apple tree, pear tree...)",0.1
